material,yield,cost,youngModulus
AR500 Steel,200,1.75,29.01
AR400 Steel,180,1.50,29.01
7075-T6 Aluminum,73,5.50,10.15
2024-T3 Aluminum,50,4.00,10.59
6061-T6 Aluminum,40,3.00,10.01
5052-H32 Aluminum,28,2.50,10.15
4130 Chromoly Steel,70,4.50,30.46
G90 Steel,33,1.00,29.01
Mild Steel (A36),36,0.80,29.01
Stainless Steel 304,30,3.50,28.09
Stainless Steel 316,30,4.50,28.09
Titanium (Grade 5),128,30.00,16.53
Titanium (Grade 2),50,25.00,15.23
Brass,25,2.75,14.50
Copper,10,4.50,15.95
1075 Blue Temper Spring Steel,75,5.00,30.46

